	KPSS	signal	gross	net	market
88	0.15426227089856775	-1.0	0.006290582557511384	0.00621414102359932	0.0007668762331907164
89	0.1871157461412715	0.0	0.0	-0.00018704316203427634	0.018762303409984193
90	0.16707266622669686	0.0	0.0	0.0	-0.00661660635492356
91	0.13219915127613824	0.0	0.0	0.0	-0.012317322177972212
92	0.12339771099313263	0.0	0.0	0.0	0.015131688322181258
93	0.12045806188779899	0.0	0.0	0.0	-0.029292752911742603
94	0.11949737340743079	0.0	0.0	0.0	0.0024642680276520945
95	0.11978254315596848	1.0	-0.0014915189981559327	-0.0016305776863986563	0.014426124657807904
96	0.13454900010276258	1.0	0.0007731178629679968	0.0007675219600927317	0.012105865492430645
97	0.19181064653115237	1.0	0.007383835104375455	0.00737640038996976	-0.007914727601131322
98	0.21955269181029846	0.0	0.0	-0.00013721987671229315	0.00824679859557964
99	0.1302628180742679	0.0	0.0	0.0	-0.0005060748601761755
100	0.10999954195947834	0.0	0.0	0.0	-0.025946336754618105
101	0.1516753371336555	0.0	0.0	0.0	0.010982987735216332
102	0.1365092517533488	0.0	0.0	0.0	-0.003203180635808267
103	0.16807676900471763	0.0	0.0	0.0	0.006545480165679685
104	0.17922876785353484	0.0	0.0	0.0	0.012687291793508804
105	0.1992600465757816	0.0	0.0	0.0	0.0006427872591217021
106	0.20064129255313667	0.0	0.0	0.0	-0.00689910050906084
107	0.1626784491265843	0.0	0.0	0.0	0.010842079212828093
108	0.11811808324944893	0.0	0.0	0.0	0.013009813642266721
109	0.07262471517315808	0.0	0.0	0.0	0.0009106051537297599
110	0.054677577904667006	0.0	0.0	0.0	-9.401025965849463e-05
111	0.0750095644218737	0.0	0.0	0.0	0.0003223043548219451
112	0.14109250769943724	0.0	0.0	0.0	0.007229681189480308
113	0.2003761092129529	0.0	0.0	0.0	0.002879153101061016
114	0.20665297889857664	0.0	0.0	0.0	-0.0007244143620946941
115	0.1813710346123611	0.0	0.0	0.0	-0.0031355866640028207
116	0.18788719015243782	0.0	0.0	0.0	0.0025817523700197853
117	0.21429416062656154	0.0	0.0	0.0	0.00034269198975556137
118	0.23726437532692993	0.0	-0.0	-0.0	1.997472142156731e-05
119	0.28301680632817044	0.0	0.0	0.0	-0.0048955765157830955
120	0.23248848141185835	0.0	0.0	0.0	-9.693591923765066e-05
121	0.23449591045619578	0.0	-0.0	-0.0	-0.008416371322106486
122	0.22833358277323668	0.0	0.0	0.0	0.006158571742003405
123	0.25363417167970614	0.0	0.0	0.0	-0.002428916406865711
124	0.27713260056766326	0.0	0.0	0.0	-0.005316352490240539
125	0.2665118669422466	0.0	0.0	0.0	0.005047606675254723
126	0.27348725335367796	0.0	0.0	0.0	-0.012258373372913245
127	0.16946523643677686	0.0	0.0	0.0	-0.017903202985502964
128	0.1432952628010021	0.0	0.0	0.0	0.00797191259701524
129	0.16916951761203064	-1.0	-0.002629994853661095	-0.0027200740191232744	0.014216897585460186
130	0.1661202070653216	1.0	0.000934958060136144	0.0006460444373214893	-0.004478294673592398
131	0.07135333420182784	0.0	0.0	-0.00019883445735247523	-0.015560819201407838
132	0.030937773150353468	0.0	0.0	0.0	0.0091044925499415
133	0.03339740713243006	0.0	0.0	0.0	0.006415695380997066
134	0.0431528731879336	0.0	0.0	0.0	0.010938977513132997
135	0.036057946273456536	0.0	-0.0	-0.0	-0.0013871187334510982
136	0.041974491881971755	0.0	-0.0	-0.0	0.009955676641137279
137	0.06428858746598325	0.0	0.0	0.0	-0.0019995427986508885
138	0.07411985841620163	0.0	0.0	0.0	0.0027628315736780706
139	0.09604751248265088	0.0	-0.0	-0.0	-0.003919344949506964
140	0.09594736401994093	0.0	0.0	0.0	0.006871616056117524
141	0.07249352408175526	0.0	0.0	0.0	-0.003568666378412577
142	0.06427175683602455	0.0	0.0	0.0	0.0028471487971184484
143	0.068152234385821	0.0	0.0	0.0	0.0019204463587332299
144	0.055436015342149814	0.0	0.0	0.0	0.004072700506109195
145	0.06606177698236719	0.0	0.0	0.0	0.005581337868471481
146	0.05663626018499825	0.0	0.0	0.0	-0.0008324053147991117
147	0.06696127023868496	0.0	0.0	0.0	0.00325337015914573
148	0.06387482132389408	0.0	0.0	0.0	-0.0030228605633046968
149	0.059219039792053396	0.0	0.0	0.0	0.009662312168146059
